ite,tExecS,MediaTCumulativa,Acuracia,MediaAcCumulativa
116,8.88591551780701,8.61767372797275,0.996460152801126,0.996532201015815
117,8.87791156768799,8.61989798301306,0.996364481255211,0.996530767513588
118,8.97386288642883,8.62289768558438,0.996692497984064,0.996532138110795
119,8.62580561637878,8.62292212197761,0.996651495892957,0.996533141117368
120,8.23830342292786,8.61971696615219,0.996692497984064,0.996534469091257
121,8.03806138038635,8.61490989519545,0.991936255415693,0.996496467325343
122,8.852126121521,8.6168542904932,0.996658329574808,0.996497794065093
123,8.68030571937561,8.61737015576867,0.996480653846679,0.996497654713724
124,8.21021389961243,8.61408663757386,0.996630994847404,0.996498730037382
125,8.18683290481567,8.61066860771179,0.996528489619637,0.99649896811404
126,8.85755252838135,8.61262800390758,0.996378148618913,0.996498009229159
127,8.22161149978638,8.60954913379639,0.996521655937786,0.996498195423715
128,8.18940448760986,8.60626675374806,0.996897508439597,0.996501315056651
129,8.31604623794556,8.60401698230773,0.996466986482977,0.996501048943677
130,8.30667757987976,8.60172975613521,0.996685664302213,0.99650246906182
131,8.9794454574585,8.60461308209951,0.996255142345593,0.996500581071619
132,8.92115020751953,8.60701109062542,0.996596826438148,0.996501310203184
133,8.27354741096497,8.60450384491368,0.996337146527806,0.996500075889835
134,8.65716624259949,8.60489684788149,0.996624161165553,0.996501001899356
135,8.37664937973022,8.60320612589518,0.996473820164828,0.996500800553174
136,8.99843215942383,8.60611219967113,0.99623464130004,0.996498843499842
137,8.88621354103088,8.60815673500952,0.996617327483702,0.99649970834644
138,9.01361560821533,8.61109484278637,0.996569491710744,0.996500214022992
139,8.22069883346558,8.60828623840277,0.996569491710744,0.996500712423624
140,8.83090853691101,8.60987639767783,0.996589992756297,0.996501350140286
141,8.79507732391357,8.61118987942418,0.996562658028893,0.996501784948006
142,8.97333121299744,8.61374017050568,0.996405483346317,0.996501106767713
143,8.86977934837341,8.615530654267,0.996350813891508,0.996500055768578
144,8.62738752365112,8.61561299363772,0.996487487528531,0.996499968489134
